Date,AAPL,BA,T,MGM,AMZN,IBM,TSLA,GOOG,FB,TWTR,NFLX,sp500
1/8/2014,77.637146,140.820007,34.240002,24.73,401.920013,187.970001,151.279999,568.484192,58.23,59.290001,48.712856,1837.48999
1/9/2014,76.645714,142.130005,33.540001,24.98,401.01001,187.380005,147.529999,563.009705,57.220001,57.049999,48.150002,1838.130005
1/10/2014,76.134285,141.899994,33.619999,25.360001,397.660004,187.259995,145.720001,562.979797,57.939999,57,47.44857,1842.369995
1/13/2014,76.53286,140.699997,33.299999,25.25,390.980011,184.160004,139.339996,559.39325,55.91,57.82,48.115715,1819.199951
1/14/2014,78.055717,140.009995,33.48,25.780001,397.540009,185.919998,161.270004,572.553955,57.740002,58.209999,48.279999,1838.880005
1/15/2014,79.622856,140.619995,33.790001,25.719999,395.869995,187.740005,164.130005,572.165405,57.599998,61.57,47.197144,1848.380005
1/16/2014,79.178574,140.210007,33.959999,25.780001,395.799988,188.759995,170.970001,575.951172,57.189999,60.57,47.382858,1845.890015
1/17/2014,77.238571,140.460007,33.700001,26.41,399.609985,190.089996,170.009995,573.116821,56.299999,62.200001,47.148571,1838.699951
1/21/2014,78.438568,141.669998,33.57,26.360001,407.049988,188.429993,176.679993,579.677246,58.509998,62.529999,46.958572,1843.800049
1/22/2014,78.78714,144.369995,33.34,25.74,404.540009,182.25,178.559998,580.334778,57.509998,62.439999,47.675713,1844.859985
1/23/2014,79.454285,141.309998,33.799999,25.18,399.869995,182.729996,181.5,577.883972,56.630001,62.799999,55.531429,1828.459961
1/24/2014,78.010002,136.649994,33.419998,23.780001,387.600006,179.639999,174.600006,559.81665,54.450001,61.740002,55.154285,1790.290039
1/27/2014,78.64286,137.360001,33.509998,23.780001,386.279999,177.899994,169.619995,548.558838,53.549999,57.91,54.46143,1781.560059
1/28/2014,72.35714,137.089996,33.700001,24.049999,394.429993,176.850006,178.380005,559.408203,55.139999,60.439999,58.110001,1792.5
1/29/2014,71.535713,129.779999,33.310001,23.280001,384.200012,176.399994,175.229996,551.39325,53.529999,59.450001,57.202858,1774.199951
1/30/2014,71.397141,126.529999,33.349998,24.110001,403.01001,177.360001,182.839996,565.575073,61.080002,63.470001,57.810001,1794.189941
1/31/2014,71.514282,125.260002,33.32,24.360001,358.690002,176.679993,181.410004,588.279968,62.57,64.5,58.475716,1782.589966
2/3/2014,71.647141,123.080002,31.950001,23.860001,346.149994,172.899994,177.110001,564.598755,61.48,65.25,57.76857,1741.890015
2/4/2014,72.684288,122.040001,32.450001,24.200001,347.950012,172.839996,178.729996,566.954895,62.75,66.32,57.987144,1755.199951
2/5/2014,73.227142,121.400002,32.080002,23.67,346.450012,174.240005,174.419998,569.465515,62.189999,65.970001,57.774284,1751.640015
2/6/2014,73.215714,122.669998,32,24.290001,354.589996,174.669998,178.380005,577.814209,62.16,50.029999,58.272858,1773.430054
2/7/2014,74.239998,127.019997,32.299999,24.799999,361.079987,177.25,186.529999,586.521545,64.32,54.349998,61.425713,1797.02002
2/10/2014,75.57,127.160004,32.439999,24.639999,360.869995,177.139999,196.559998,584.274963,63.549999,52.919998,61.491428,1799.839966
2/11/2014,76.565712,130.160004,32.950001,25.25,361.790009,179.699997,196.619995,592.867798,64.849998,54,61.998573,1819.75
2/12/2014,76.559998,128.130005,32.939999,25.32,349.25,180.240005,195.320007,591.129272,64.449997,56.849998,61.275715,1819.26001
2/13/2014,77.775711,129.5,33.490002,25.58,357.200012,181.839996,199.630005,597.709656,67.330002,56.470001,62.364285,1829.829956
2/14/2014,77.71286,130.160004,33.150002,26.02,357.350006,183.690002,198.229996,599.154236,67.089996,57.439999,62.215714,1838.630005
2/18/2014,77.998573,130.630005,32.82,25.85,353.649994,183.190002,203.699997,603.179138,67.300003,58.18,62.407143,1840.76001
2/19/2014,76.767143,128.389999,32.849998,25.75,347.380005,182.949997,193.639999,598.92511,68.059998,55.5,61.175713,1828.75
2/20/2014,75.878571,129.559998,33.18,26.83,349.799988,184.259995,209.970001,599.806763,69.629997,56.630001,62.135715,1839.780029
2/21/2014,75.035713,128.279999,32.799999,27.049999,346.76001,182.789993,209.600006,599.6474,68.589996,55.919998,61.747143,1836.25
2/24/2014,75.364288,129.589996,32.470001,27.84,351.779999,183.449997,217.649994,603.991089,70.779999,55.779999,63.857143,1847.609985
2/25/2014,74.580002,126.779999,32.169998,27.540001,358.320007,183.229996,248,607.722107,69.849998,54.959999,64.718575,1845.119995
2/26/2014,73.907143,126.610001,32,27.49,359.799988,184.059998,253,607.806763,69.260002,55.869999,64.112854,1845.160034
2/27/2014,75.381432,128.559998,32.23,27.860001,360.130005,185.270004,252.539993,607.328613,68.940002,55.77,64.604286,1854.290039
2/28/2014,75.177139,128.919998,31.93,27.549999,362.100006,185.169998,244.809998,605.555237,68.459999,54.91,63.66143,1859.449951
3/3/2014,75.394287,128.220001,31.860001,27.6,359.779999,184.259995,250.559998,599.099426,67.410004,53.709999,63.655716,1845.72998
3/4/2014,75.891426,130.229996,32.150002,28.290001,363.899994,186.440002,254.839996,605.186584,68.800003,54.279999,64.997147,1873.910034
3/5/2014,76.05143,128.789993,32.130001,28.219999,372.369995,187.139999,252.660004,606.855347,71.57,54.380001,64.785713,1873.810059
3/6/2014,75.821426,128.860001,32.34,28.389999,372.160004,187.639999,252.940002,607.527832,70.839996,54.830002,64.358574,1877.030029
3/7/2014,75.777145,128.539993,32.540001,28.290001,372.059998,187.679993,246.210007,605.126831,69.800003,53.529999,64.052856,1878.040039
3/10/2014,75.845711,126.889999,32.509998,27.709999,370.529999,186.389999,238.839996,603.522827,72.029999,53.880001,62.849998,1877.170044
3/11/2014,76.584282,125.669998,32.23,27.049999,368.820007,186.759995,234.410004,597.754456,70.099998,54.02,62.497143,1867.630005
